英文名称,Country Name,英文名称,src\page\service\oms\activity\pages\IBUActivityApplyForAdminV2\IBUActivityApplyForAdminV2.vue
基础信息,Basic Info.,基础信息,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveAddV2\components\examineAndApproveAdd.vue
附件,Attachment,附件,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveAddV2\components\examineAndApproveAdd.vue
促销信息,Promotion Details,促销信息,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveAddV2\components\examineAndApproveAdd.vue
冲突,Conflict,冲突,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveAddV2\components\examineAndApproveAdd.vue
线上价格露出,Online Price Display,线上价格露出,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveAddV2\components\examineAndApproveAdd.vue
子客户编码,Sub Customer Code,子客户编码,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveAddV2\components\examineAndApproveAdd.vue
子客户简称,Sub Customer ABBR.,子客户简称,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveAddV2\components\examineAndApproveAdd.vue
产品名称,Product Name,产品名称,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveAddV2\components\examineAndApproveAdd.vue
产品状态,Status,产品状态,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveAddV2\components\examineAndApproveAdd.vue
促销类型,Promotion Type,促销类型,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveAddV2\components\examineAndApproveAdd.vue
促销简称,Promotion ABBR.,促销简称,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveAddV2\components\examineAndApproveAdd.vue
开始时间,Start Time,开始时间,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveAddV2\components\examineAndApproveAdd.vue
结束时间,End Time,结束时间,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveAddV2\components\examineAndApproveAdd.vue
币别,Currency,币别,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveAddV2\components\examineAndApproveAdd.vue
MSRP,MSRP,MSRP,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveAddV2\components\examineAndApproveAdd.vue
促销价格,Promotion Price,促销价格,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveAddV2\components\examineAndApproveAdd.vue
折扣,Discount,折扣,src\page\service\oms\activity\pages\IBUActivityExamineAndApproveAddV2\components\examineAndApproveAdd.vue
