add,Add,新增,D:\代码库\saafweb\src\page\base\bbs\BbsTypeDetail.vue
modify,Modify,修改,D:\代码库\saafweb\src\page\base\bbs\BbsTypeDetail.vue
validationFailed,validation failed!,验证失败！,D:\代码库\saafweb\src\page\base\bbs\BbsTypeDetail.vue
saveSuccess,Save successful!,保存成功！,D:\代码库\saafweb\src\page\base\bbs\BbsTypeDetail.vue
saveFailed,Save failed!,保存失败！,D:\代码库\saafweb\src\page\base\bbs\BbsTypeDetail.vue
deleteSuccess,Delete successful!,删除成功！,D:\代码库\saafweb\src\page\base\bbs\BbsTypeDetail.vue
deleteFailed,缺少翻译,缺少翻译,D:\代码库\saafweb\src\page\base\bbs\BbsTypeDetail.vue
list,List,列表,D:\代码库\saafweb\src\page\base\cms\BaseCmsWebNotice.vue
职责,缺少翻译,缺少翻译,D:\代码库\saafweb\src\page\base\cms\BaseCmsWebNotice.vue
noticeTitle,noticeTitle,公告标题,D:\代码库\saafweb\src\page\base\cms\BaseCmsWebNotice.vue
startTime,startTime,生效日期,D:\代码库\saafweb\src\page\base\cms\BaseCmsWebNotice.vue
endTime,endTime,失效日期,D:\代码库\saafweb\src\page\base\cms\BaseCmsWebNotice.vue
是否显示,缺少翻译,缺少翻译,D:\代码库\saafweb\src\page\base\cms\BaseCmsWebNotice.vue
noticeOrder,noticeOrder,显示顺序,D:\代码库\saafweb\src\page\base\cms\BaseCmsWebNotice.vue
城市,缺少翻译,缺少翻译,D:\代码库\saafweb\src\page\base\cms\BaseCmsWebNotice.vue
网站公告详情,缺少翻译,缺少翻译,D:\代码库\saafweb\src\page\base\cms\BaseCmsWebNotice.vue
查看详情,缺少翻译,缺少翻译,D:\代码库\saafweb\src\page\base\cms\BaseCmsWebNotice.vue
内容,缺少翻译,缺少翻译,D:\代码库\saafweb\src\page\base\cms\BaseCmsWebNotice.vue
强化日期,缺少翻译,缺少翻译,D:\代码库\saafweb\src\page\base\cms\BaseCmsWebNotice.vue
失效日期,缺少翻译,缺少翻译,D:\代码库\saafweb\src\page\base\cms\BaseCmsWebNotice.vue
网站公告详情页,缺少翻译,缺少翻译,D:\代码库\saafweb\src\page\base\cms\BaseCmsWebNotice.vue
deleteSuccess,缺少翻译,缺少翻译,D:\代码库\saafweb\src\page\base\cms\BaseCmsWebNotice.vue
文章标题,articleTitle,缺少翻译,D:\代码库\saafweb\src\page\base\cms\article\BaseCmsArticle.vue
文章分类,articleCategory,缺少翻译,D:\代码库\saafweb\src\page\base\cms\article\BaseCmsArticle.vue
渠道,systemCode,缺少翻译,D:\代码库\saafweb\src\page\base\cms\article\BaseCmsArticle.vue
发布时间从,缺少翻译,缺少翻译,D:\代码库\saafweb\src\page\base\cms\article\BaseCmsArticle.vue
发布时间至,缺少翻译,缺少翻译,D:\代码库\saafweb\src\page\base\cms\article\BaseCmsArticle.vue
文章详情,缺少翻译,缺少翻译,D:\代码库\saafweb\src\page\base\cms\article\BaseCmsArticle.vue
文章作者,articleAuthor,缺少翻译,D:\代码库\saafweb\src\page\base\cms\article\BaseCmsArticle.vue
是否首页显示,enabledFlag,缺少翻译,D:\代码库\saafweb\src\page\base\cms\article\BaseCmsArticle.vue
是否置顶,topFlag,缺少翻译,D:\代码库\saafweb\src\page\base\cms\article\BaseCmsArticle.vue
文章排序号,articleOrder,缺少翻译,D:\代码库\saafweb\src\page\base\cms\article\BaseCmsArticle.vue
文章状态,articleStatus,缺少翻译,D:\代码库\saafweb\src\page\base\cms\article\BaseCmsArticle.vue
浏览次数,visited,缺少翻译,D:\代码库\saafweb\src\page\base\cms\article\BaseCmsArticle.vue
发布时间,articlePublishDate,缺少翻译,D:\代码库\saafweb\src\page\base\cms\article\BaseCmsArticle.vue
required,缺少翻译,缺少翻译,D:\代码库\saafweb\src\page\base\cms\article\BaseCmsArticle.vue
公告详情,缺少翻译,缺少翻译,D:\代码库\saafweb\src\page\base\cms\BaseCmsWebNoticeDetail.vue
公告标题,缺少翻译,缺少翻译,D:\代码库\saafweb\src\page\base\cms\BaseCmsWebNoticeDetail.vue
顺序,缺少翻译,缺少翻译,D:\代码库\saafweb\src\page\base\cms\BaseCmsWebNoticeDetail.vue
是否显示,缺少翻译,缺少翻译,D:\代码库\saafweb\src\page\base\cms\BaseCmsWebNoticeDetail.vue
